CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,UniqueProducts,Cluster,Segment
12388,16,6,2780.66,1462,463.4433333,57,1,High-Value Loyal
12390,80,1,549.84,353,549.84,32,2,Regular / Growth
12391,22,1,439.66,293,439.66,92,2,Regular / Growth
12393,72,4,1582.6,816,395.65,47,2,Regular / Growth
12394,64,2,1272.48,819,636.24,26,2,Regular / Growth
12395,19,12,3018.63,2118,251.5525,91,1,High-Value Loyal
12397,36,2,2409.9,1263,1204.95,110,1,High-Value Loyal
12398,46,1,1635.66,1394,1635.66,85,2,Regular / Growth
12399,119,4,1108.65,1178,277.1625,47,2,Regular / Growth
12401,303,1,84.3,11,84.3,5,0,At-Risk / Low-Value
12402,323,1,225.6,94,225.6,11,0,At-Risk / Low-Value
12403,50,1,427.7,96,427.7,5,0,At-Risk / Low-Value
12405,149,1,1710.39,857,1710.39,54,2,Regular / Growth
12406,22,2,3415.3,1818,1707.65,92,1,High-Value Loyal
12407,50,5,1708.12,1416,341.624,57,1,High-Value Loyal
12408,33,5,2888.55,1409,577.71,81,1,High-Value Loyal
12409,79,3,11072.67,5551,3690.89,91,1,High-Value Loyal
12410,309,2,693.33,211,346.665,26,2,Regular / Growth
12412,75,3,1226.88,829,408.96,43,2,Regular / Growth
12413,67,3,758.1,286,252.7,29,2,Regular / Growth
12414,217,3,562.41,300,187.47,16,2,Regular / Growth
12415,24,21,124914.53,77374,5948.310952,444,1,High-Value Loyal
12417,3,9,3649.1,1552,405.4555556,158,1,High-Value Loyal
12418,113,1,668.58,407,668.58,34,2,Regular / Growth
12420,64,1,600.39,345,600.39,29,2,Regular / Growth
12421,16,4,807.04,484,201.76,32,2,Regular / Growth
12422,96,3,803.56,370,267.8533333,39,2,Regular / Growth
12423,1,8,1859.31,1339,232.41375,97,1,High-Value Loyal
12424,163,2,1760.96,740,880.48,30,2,Regular / Growth
12425,78,1,777.2,496,777.2,36,2,Regular / Growth
12426,195,1,582.73,258,582.73,30,2,Regular / Growth
12427,22,3,825.8,533,275.2666667,26,2,Regular / Growth
12428,26,9,7956.46,3536,884.0511111,258,1,High-Value Loyal
12429,9,4,3750.4,1557,937.6,82,1,High-Value Loyal
12430,43,1,256.4,117,256.4,11,0,At-Risk / Low-Value
12431,36,15,6419.95,2896,427.9966667,163,1,High-Value Loyal
12432,43,5,5059.32,1801,1011.864,107,1,High-Value Loyal
12433,1,7,13375.87,11071,1910.838571,219,1,High-Value Loyal
12434,85,2,806.14,394,403.07,46,2,Regular / Growth
12435,80,2,7829.89,2055,3914.945,31,1,High-Value Loyal
12436,100,1,509.01,211,509.01,16,2,Regular / Growth
12437,2,18,4951.41,2922,275.0783333,118,1,High-Value Loyal
12438,14,2,2906.85,1180,1453.425,84,1,High-Value Loyal
12441,367,1,173.55,121,173.55,11,0,At-Risk / Low-Value
12442,3,1,172.06,182,172.06,12,0,At-Risk / Low-Value
12444,21,5,5005.46,1153,1001.092,138,1,High-Value Loyal
12445,22,1,133.4,62,133.4,4,0,At-Risk / Low-Value
12446,58,1,1002.31,351,1002.31,57,2,Regular / Growth
12447,243,1,476.49,190,476.49,26,2,Regular / Growth
12448,44,1,449.45,243,449.45,22,2,Regular / Growth
12449,22,4,4067.29,1553,1016.8225,118,1,High-Value Loyal
12450,156,2,197.88,128,98.94,7,0,At-Risk / Low-Value
12451,11,5,9035.52,6575,1807.104,265,1,High-Value Loyal
12452,17,2,430.57,185,215.285,21,2,Regular / Growth
12453,134,1,707.09,473,707.09,43,2,Regular / Growth
12454,56,1,3528.34,1006,3528.34,15,2,Regular / Growth
12455,73,6,2466.86,2089,411.1433333,85,1,High-Value Loyal
12456,44,3,3181.04,1633,1060.346667,105,1,High-Value Loyal
12457,66,7,2363.23,843,337.6042857,53,1,High-Value Loyal
12458,71,2,947.4,506,473.7,35,2,Regular / Growth
12461,94,2,826.88,287,413.44,35,2,Regular / Growth
12462,19,2,1189.59,536,594.795,51,2,Regular / Growth
12463,53,4,1344.78,776,336.195,65,2,Regular / Growth
12464,10,8,1212.05,112,151.50625,6,2,Regular / Growth
12465,17,2,742.19,479,371.095,46,2,Regular / Growth
12468,188,2,729.54,366,364.77,36,2,Regular / Growth
12471,2,30,19788.65,8200,659.6216667,150,1,High-Value Loyal
12472,32,7,6572.11,4148,938.8728571,219,1,High-Value Loyal
12473,29,5,3928.05,2414,785.61,140,1,High-Value Loyal
12474,17,18,7324.09,4833,406.8938889,253,1,High-Value Loyal
12475,54,1,723.38,535,723.38,36,2,Regular / Growth
12476,16,11,6816.42,2408,619.6745455,177,1,High-Value Loyal
12477,23,6,13219.74,3653,2203.29,191,1,High-Value Loyal
12478,4,1,680.99,236,680.99,36,2,Regular / Growth
12479,11,1,527.2,385,527.2,31,2,Regular / Growth
12480,28,4,3281.63,1707,820.4075,129,1,High-Value Loyal
12481,23,10,5579.82,3294,557.982,150,1,High-Value Loyal
12483,17,8,2484.98,1110,310.6225,46,1,High-Value Loyal
12484,33,6,4527.32,2187,754.5533333,256,1,High-Value Loyal
12488,10,3,1298.66,529,432.8866667,46,2,Regular / Growth
12489,336,1,334.93,105,334.93,15,0,At-Risk / Low-Value
12490,5,10,5417.93,3064,541.793,131,1,High-Value Loyal
12491,39,1,460.4,260,460.4,25,2,Regular / Growth
12492,63,2,263.21,192,131.605,19,0,At-Risk / Low-Value
12493,166,2,433.74,207,216.87,20,2,Regular / Growth
12494,16,7,1246.1,707,178.0142857,63,1,High-Value Loyal
12497,82,1,1043.1,1236,1043.1,14,2,Regular / Growth
12498,21,3,403.7,159,134.5666667,21,2,Regular / Growth
12500,23,11,4257.82,2678,387.0745455,34,1,High-Value Loyal
12501,337,1,2169.39,1783,2169.39,149,2,Regular / Growth
12502,96,5,3723.87,820,744.774,102,1,High-Value Loyal
12504,18,2,482.05,90,241.025,6,0,At-Risk / Low-Value
12506,233,1,73.5,23,73.5,23,0,At-Risk / Low-Value
12507,134,3,1304.81,894,434.9366667,19,2,Regular / Growth
12508,26,2,397.88,271,198.94,57,2,Regular / Growth
12509,284,1,176.5,55,176.5,7,0,At-Risk / Low-Value
12510,143,2,982.57,353,491.285,29,2,Regular / Growth
12512,66,2,132.18,96,66.09,31,0,At-Risk / Low-Value
12513,113,1,612.29,462,612.29,35,2,Regular / Growth
12514,267,1,1017.68,440,1017.68,51,2,Regular / Growth
12515,353,1,383.7,131,383.7,16,0,At-Risk / Low-Value
12516,78,2,1312.06,875,656.03,20,2,Regular / Growth
12517,28,5,2481.6,1361,496.32,232,1,High-Value Loyal
12518,1,5,2056.89,1318,411.378,84,1,High-Value Loyal
12519,64,1,330.84,175,330.84,17,2,Regular / Growth
12520,79,5,2634.26,1439,526.852,121,1,High-Value Loyal
12521,143,1,599.68,309,599.68,38,2,Regular / Growth
12522,39,2,192.72,194,96.36,11,0,At-Risk / Low-Value
12523,19,11,1789.77,865,162.7063636,84,1,High-Value Loyal
12524,9,8,4485.72,3699,560.715,113,1,High-Value Loyal
12526,1,3,1316.66,632,438.8866667,64,1,High-Value Loyal
12527,82,3,348.71,234,116.2366667,18,0,At-Risk / Low-Value
12528,9,6,1933.48,756,322.2466667,50,1,High-Value Loyal
12530,60,4,1662.28,913,415.57,51,2,Regular / Growth
12531,15,1,125.22,45,125.22,17,0,At-Risk / Low-Value
12532,30,1,349.83,153,349.83,16,2,Regular / Growth
12534,131,1,1089.18,651,1089.18,63,2,Regular / Growth
12535,92,2,716.35,219,358.175,28,2,Regular / Growth
12536,43,3,12601.83,2803,4200.61,260,1,High-Value Loyal
12538,29,1,363.95,191,363.95,21,2,Regular / Growth
12539,22,4,5568.35,2067,1392.0875,157,1,High-Value Loyal
12540,20,17,13400.24,6685,788.2494118,277,1,High-Value Loyal
12541,30,3,981.18,680,327.06,46,2,Regular / Growth
12544,36,1,372.7,136,372.7,19,2,Regular / Growth
12545,75,2,1000.39,523,500.195,42,2,Regular / Growth
12546,47,2,1161.5,633,580.75,59,2,Regular / Growth
12547,198,2,207.8,134,103.9,7,0,At-Risk / Low-Value
12548,166,1,95.2,49,95.2,5,0,At-Risk / Low-Value
12550,79,1,964.83,569,964.83,57,2,Regular / Growth
12551,358,1,168.0,100,168.0,10,0,At-Risk / Low-Value
12552,39,2,437.82,88,218.91,20,0,At-Risk / Low-Value
12553,8,10,3692.28,1965,369.228,95,1,High-Value Loyal
12556,50,2,599.56,355,299.78,100,2,Regular / Growth
12557,16,5,11990.96,4384,2398.192,15,1,High-Value Loyal
12558,8,1,269.96,196,269.96,11,2,Regular / Growth
12559,311,2,561.71,283,280.855,21,2,Regular / Growth
12560,5,3,2134.01,1110,711.3366667,91,1,High-Value Loyal
12561,303,1,238.85,177,238.85,16,0,At-Risk / Low-Value
12562,8,7,3781.74,1779,540.2485714,99,1,High-Value Loyal
12564,261,1,456.9,133,456.9,21,2,Regular / Growth
12565,289,1,145.92,80,145.92,9,0,At-Risk / Low-Value
12566,86,1,351.65,265,351.65,19,2,Regular / Growth
12567,23,10,9401.28,4305,940.128,323,1,High-Value Loyal
12569,2,32,4124.69,1801,128.8965625,92,1,High-Value Loyal
12571,40,2,519.61,523,259.805,31,2,Regular / Growth
12572,9,2,1020.42,452,510.21,53,2,Regular / Growth
12573,227,1,160.54,84,160.54,26,0,At-Risk / Low-Value
12574,316,1,218.45,61,218.45,11,0,At-Risk / Low-Value
12576,36,5,1315.83,967,263.166,72,1,High-Value Loyal
12577,35,3,626.6,469,208.8666667,137,2,Regular / Growth
12578,21,2,2794.51,1196,1397.255,111,1,High-Value Loyal
12579,78,1,440.42,285,440.42,29,2,Regular / Growth
12580,247,1,415.7,238,415.7,24,2,Regular / Growth
12581,40,1,197.71,161,197.71,15,0,At-Risk / Low-Value
12582,239,2,511.36,300,255.68,21,2,Regular / Growth
12583,3,15,7281.38,5060,485.4253333,115,1,High-Value Loyal
12584,4,9,2338.15,416,259.7944444,44,1,High-Value Loyal
12585,234,2,2040.1,1279,1020.05,77,2,Regular / Growth
12586,17,1,196.94,79,196.94,11,0,At-Risk / Low-Value
12587,8,1,144.0,51,144.0,4,0,At-Risk / Low-Value
12588,39,1,214.9,53,214.9,10,0,At-Risk / Low-Value
12589,29,2,646.68,306,323.34,29,2,Regular / Growth
12590,211,2,9864.26,4283,4932.13,68,1,High-Value Loyal
12591,317,1,452.85,228,452.85,26,2,Regular / Growth
12592,92,2,437.6,290,218.8,11,2,Regular / Growth
12593,109,3,418.1,206,139.3666667,14,0,At-Risk / Low-Value
12594,38,10,3338.22,1777,333.822,50,1,High-Value Loyal
12596,51,2,618.27,474,309.135,25,2,Regular / Growth
12597,19,4,3811.22,2236,952.805,184,1,High-Value Loyal
12598,10,8,3023.08,1964,377.885,84,1,High-Value Loyal
12599,29,7,1032.58,956,147.5114286,32,2,Regular / Growth
12600,29,10,2599.04,774,259.904,32,1,High-Value Loyal
12601,190,5,577.06,245,115.412,21,0,At-Risk / Low-Value
12602,59,1,153.12,162,153.12,12,0,At-Risk / Low-Value
12603,22,1,739.2,63,739.2,2,2,Regular / Growth
12604,79,2,254.18,201,127.09,15,0,At-Risk / Low-Value
12607,60,1,1579.51,1228,1579.51,101,2,Regular / Growth
12609,78,3,1126.85,648,375.6166667,57,2,Regular / Growth
12610,23,5,2099.54,1049,419.908,85,1,High-Value Loyal
12611,52,1,1193.32,846,1193.32,65,2,Regular / Growth
12612,74,1,704.04,262,704.04,19,2,Regular / Growth
12613,57,5,3344.38,1644,668.876,124,1,High-Value Loyal
12614,278,1,315.6,76,315.6,20,0,At-Risk / Low-Value
12615,2,4,2291.19,1376,572.7975,82,1,High-Value Loyal
12616,95,2,713.3,284,356.65,25,2,Regular / Growth
12617,29,1,352.98,210,352.98,39,2,Regular / Growth
12618,22,1,177.31,96,177.31,11,0,At-Risk / Low-Value
12619,16,9,3641.24,3378,404.5822222,50,1,High-Value Loyal
12620,15,3,1339.41,1181,446.47,89,1,High-Value Loyal
12621,2,20,13689.67,7440,684.4835,261,1,High-Value Loyal
12622,232,1,180.1,69,180.1,11,0,At-Risk / Low-Value
12623,276,1,305.1,191,305.1,18,0,At-Risk / Low-Value
12624,106,2,641.13,355,320.565,36,2,Regular / Growth
12625,212,2,2683.82,1612,1341.91,73,2,Regular / Growth
12626,23,9,6620.48,3453,735.6088889,232,1,High-Value Loyal
12627,11,7,4478.53,2752,639.79,162,1,High-Value Loyal
12628,4,3,786.46,448,262.1533333,34,2,Regular / Growth
12630,10,2,1270.88,548,635.44,60,2,Regular / Growth
12631,57,1,640.5,236,640.5,31,2,Regular / Growth
12633,59,4,2163.98,1162,540.995,73,1,High-Value Loyal
12635,90,2,1689.18,1172,844.59,96,2,Regular / Growth
12637,67,8,6002.9,2994,750.3625,205,1,High-Value Loyal
12638,33,1,671.69,577,671.69,39,2,Regular / Growth
12639,239,1,486.1,201,486.1,22,2,Regular / Growth
12640,24,3,1174.58,311,391.5266667,47,2,Regular / Growth
12641,115,1,185.9,72,185.9,10,0,At-Risk / Low-Value
12642,25,3,1013.26,552,337.7533333,39,2,Regular / Growth
12643,128,6,3344.64,1808,557.44,11,2,Regular / Growth
12644,130,1,477.91,325,477.91,31,2,Regular / Growth
12645,34,4,1775.18,1084,443.795,58,1,High-Value Loyal
12646,5,2,1346.97,897,673.485,43,2,Regular / Growth
12647,22,12,3722.82,1431,310.235,78,1,High-Value Loyal
12648,155,1,318.05,160,318.05,21,0,At-Risk / Low-Value
12649,107,3,623.51,586,207.8366667,28,2,Regular / Growth
12650,3,1,314.44,254,314.44,20,2,Regular / Growth
12651,335,1,114.0,78,114.0,9,0,At-Risk / Low-Value
12652,331,1,919.98,505,919.98,48,2,Regular / Growth
12653,149,2,2209.85,919,1104.925,37,2,Regular / Growth
12654,11,5,601.98,264,120.396,31,2,Regular / Growth
12656,17,5,4051.17,1723,810.234,89,1,High-Value Loyal
12657,11,4,1643.18,1044,410.795,35,1,High-Value Loyal
12658,19,1,686.05,320,686.05,36,2,Regular / Growth
12659,30,1,91.68,105,91.68,5,0,At-Risk / Low-Value
12660,11,1,245.1,127,245.1,13,0,At-Risk / Low-Value
12662,1,11,3849.78,2058,349.98,129,1,High-Value Loyal
12664,8,9,4881.88,1203,542.4311111,10,1,High-Value Loyal
12665,325,1,63.0,37,63.0,3,0,At-Risk / Low-Value
12667,58,1,620.13,395,620.13,33,2,Regular / Growth
12668,12,4,3807.15,1634,951.7875,115,1,High-Value Loyal
12669,151,3,2744.03,1115,914.6766667,98,2,Regular / Growth
12670,10,5,2996.05,1397,599.21,58,1,High-Value Loyal
12672,330,1,225.9,78,225.9,10,0,At-Risk / Low-Value
12673,5,2,610.52,351,305.26,42,2,Regular / Growth
12674,39,4,1970.6,1133,492.65,52,1,High-Value Loyal
12676,25,6,1331.39,670,221.8983333,33,2,Regular / Growth
12678,42,12,17628.46,10923,1469.038333,105,1,High-Value Loyal
12679,59,4,1113.02,554,278.255,43,2,Regular / Growth
12680,1,4,862.81,443,215.7025,33,1,High-Value Loyal
12681,15,22,13787.54,7536,626.7063636,267,1,High-Value Loyal
12682,4,31,12279.82,5555,396.1232258,209,1,High-Value Loyal
12683,4,15,8476.57,4987,565.1046667,177,1,High-Value Loyal
12684,8,7,2283.63,1985,326.2328571,61,1,High-Value Loyal
12685,28,6,2863.08,1523,477.18,117,1,High-Value Loyal
12686,372,1,89.14,107,89.14,7,0,At-Risk / Low-Value
12688,114,1,4873.81,3028,4873.81,171,1,High-Value Loyal
12689,26,2,1247.61,628,623.805,57,2,Regular / Growth
12690,206,1,389.01,106,389.01,16,0,At-Risk / Low-Value
12691,28,6,1035.8,394,172.6333333,21,2,Regular / Growth
12693,127,4,855.91,255,213.9775,35,2,Regular / Growth
12694,70,2,869.67,509,434.835,32,2,Regular / Growth
12695,7,4,582.1,220,145.525,23,2,Regular / Growth
12697,29,3,957.59,508,319.1966667,37,2,Regular / Growth
12700,8,4,4939.99,2967,1234.9975,193,1,High-Value Loyal
12701,80,2,797.71,678,398.855,50,2,Regular / Growth
12702,20,1,219.0,53,219.0,12,0,At-Risk / Low-Value
12703,71,1,283.55,164,283.55,21,2,Regular / Growth
12704,7,8,2340.84,1006,292.605,64,1,High-Value Loyal
12705,15,9,6868.29,3997,763.1433333,228,1,High-Value Loyal
12707,292,1,603.42,256,603.42,33,2,Regular / Growth
12708,30,10,2712.91,1307,271.291,86,1,High-Value Loyal
12709,15,15,9706.52,3912,647.1013333,93,1,High-Value Loyal
12710,97,3,1149.02,851,383.0066667,75,2,Regular / Growth
12712,29,13,4396.13,1062,338.1638462,58,1,High-Value Loyal
12713,1,1,848.55,508,848.55,38,2,Regular / Growth
12714,9,5,4708.86,3069,941.772,216,1,High-Value Loyal
12715,106,1,343.36,192,343.36,20,2,Regular / Growth
12716,4,2,1053.49,708,526.745,60,2,Regular / Growth
12717,151,2,1030.98,506,515.49,49,2,Regular / Growth
12718,71,1,238.25,203,238.25,19,0,At-Risk / Low-Value
12719,5,2,644.95,374,322.475,34,2,Regular / Growth
12720,3,25,5781.73,4672,231.2692,211,1,High-Value Loyal
12721,32,6,2656.13,1959,442.6883333,133,1,High-Value Loyal
12722,85,4,997.63,566,249.4075,50,2,Regular / Growth
12723,4,5,725.07,434,145.014,53,2,Regular / Growth
12724,5,4,1031.41,445,257.8525,47,2,Regular / Growth
12725,371,1,427.8,164,427.8,24,2,Regular / Growth
12726,28,7,2609.1,3143,372.7285714,57,1,High-Value Loyal
12727,11,7,3980.7,2098,568.6714286,109,1,High-Value Loyal
12728,71,4,836.33,419,209.0825,38,2,Regular / Growth
12729,114,1,453.01,233,453.01,26,2,Regular / Growth
12731,24,12,18895.91,8437,1574.659167,109,1,High-Value Loyal
12732,180,1,236.26,111,236.26,12,0,At-Risk / Low-Value
12733,234,1,383.95,137,383.95,22,2,Regular / Growth
12734,353,1,110.4,88,110.4,4,0,At-Risk / Low-Value
12735,315,2,779.57,368,389.785,38,2,Regular / Growth
12736,333,1,234.0,173,234.0,4,0,At-Risk / Low-Value
12738,372,1,155.35,148,155.35,11,0,At-Risk / Low-Value
12739,78,2,1013.04,486,506.52,38,2,Regular / Growth
12740,64,1,427.6,342,427.6,27,2,Regular / Growth
12743,134,2,540.13,315,270.065,114,2,Regular / Growth
12744,52,7,21279.29,5241,3039.898571,178,1,High-Value Loyal
12747,2,11,4196.01,1275,381.4554545,42,1,High-Value Loyal
12748,1,209,33053.19,25287,158.1492344,1768,1,High-Value Loyal
12749,4,5,4090.88,1471,818.176,160,1,High-Value Loyal
12750,129,1,275.88,137,275.88,15,0,At-Risk / Low-Value
12752,81,1,4366.78,2262,4366.78,53,2,Regular / Growth
12753,23,6,21429.39,11421,3571.565,132,1,High-Value Loyal
12754,236,3,3010.74,6481,1003.58,49,1,High-Value Loyal
12755,281,2,3811.95,1491,1905.975,4,2,Regular / Growth
12756,87,1,112.08,144,112.08,4,0,At-Risk / Low-Value
12757,16,13,7834.65,2395,602.6653846,237,1,High-Value Loyal
12758,117,2,2791.59,2135,1395.795,84,2,Regular / Growth
12759,52,3,1531.44,902,510.48,81,2,Regular / Growth
12762,8,2,1898.52,1227,949.26,62,1,High-Value Loyal
12763,138,2,494.08,316,247.04,16,2,Regular / Growth
12764,317,1,1693.88,386,1693.88,45,2,Regular / Growth
12766,4,7,6989.63,3646,998.5185714,205,1,High-Value Loyal
12769,239,1,1143.6,356,1143.6,32,2,Regular / Growth
12770,211,1,1351.45,743,1351.45,12,2,Regular / Growth
12772,60,1,892.47,556,892.47,55,2,Regular / Growth
12775,17,5,1386.04,877,277.208,47,1,High-Value Loyal
12778,20,6,822.23,825,137.0383333,40,2,Regular / Growth
12779,38,8,3981.36,2024,497.67,88,1,High-Value Loyal
12781,64,2,826.74,671,413.37,25,2,Regular / Growth
12782,5,5,2330.92,1086,466.184,81,1,High-Value Loyal
12783,2,6,2225.91,624,370.985,76,1,High-Value Loyal
12784,9,2,532.82,280,266.41,54,2,Regular / Growth
12785,364,1,311.95,131,311.95,14,0,At-Risk / Low-Value
12787,10,3,463.66,261,154.5533333,17,2,Regular / Growth
12789,65,1,91.85,4,91.85,4,0,At-Risk / Low-Value
12790,192,1,324.92,166,324.92,21,0,At-Risk / Low-Value
12791,374,1,192.6,97,192.6,2,0,At-Risk / Low-Value
12792,257,1,400.54,217,400.54,25,2,Regular / Growth
12793,335,2,545.48,295,272.74,21,2,Regular / Growth
12794,53,2,860.41,592,430.205,43,2,Regular / Growth
12795,19,1,430.48,68,430.48,14,2,Regular / Growth
12797,366,1,254.03,118,254.03,13,0,At-Risk / Low-Value
12798,10,3,6977.04,5256,2325.68,6,1,High-Value Loyal
12802,187,1,427.58,314,427.58,25,2,Regular / Growth
12808,37,3,483.65,188,161.2166667,27,2,Regular / Growth
12809,178,1,489.31,220,489.31,25,2,Regular / Growth
12811,261,3,514.85,230,171.6166667,27,2,Regular / Growth
12812,45,1,229.64,164,229.64,15,0,At-Risk / Low-Value
12814,102,1,125.92,49,125.92,2,0,At-Risk / Low-Value
12815,148,2,1063.46,379,531.73,38,2,Regular / Growth
12816,96,2,572.2,128,286.1,27,2,Regular / Growth
12817,281,1,166.04,53,166.04,4,0,At-Risk / Low-Value
12818,262,1,1542.08,929,1542.08,14,2,Regular / Growth
12820,3,4,942.34,722,235.585,55,1,High-Value Loyal
12821,214,1,92.72,70,92.72,6,0,At-Risk / Low-Value
12822,71,2,948.88,550,474.44,41,2,Regular / Growth
12823,75,5,1759.5,230,351.9,1,2,Regular / Growth
12824,60,1,397.12,232,397.12,25,2,Regular / Growth
12826,3,7,1474.72,1058,210.6742857,58,1,High-Value Loyal
12827,6,3,430.15,197,143.3833333,19,2,Regular / Growth
12828,3,6,1018.71,494,169.785,46,1,High-Value Loyal
12829,337,2,293.0,376,146.5,9,0,At-Risk / Low-Value
12830,38,6,6814.64,9848,1135.773333,13,1,High-Value Loyal
12831,262,1,215.05,135,215.05,9,0,At-Risk / Low-Value
12832,32,2,383.03,195,191.515,27,2,Regular / Growth
12833,145,1,417.38,156,417.38,24,2,Regular / Growth
12834,283,1,312.38,110,312.38,18,0,At-Risk / Low-Value
12836,59,4,2610.36,1062,652.59,148,1,High-Value Loyal
12837,173,1,134.1,24,134.1,12,0,At-Risk / Low-Value
12838,34,2,671.95,355,335.975,115,2,Regular / Growth
12839,3,14,5591.42,3807,399.3871429,95,1,High-Value Loyal
12840,144,4,2726.77,1511,681.6925,67,1,High-Value Loyal
12841,5,25,3991.58,2720,159.6632,229,1,High-Value Loyal
12842,70,2,1118.99,547,559.495,34,2,Regular / Growth
12843,66,8,1702.26,781,212.7825,69,1,High-Value Loyal
12844,29,2,325.96,125,162.98,47,2,Regular / Growth
12845,267,4,354.09,204,88.5225,26,0,At-Risk / Low-Value
12847,22,1,843.64,873,843.64,72,2,Regular / Growth
12849,31,2,1010.29,597,505.145,47,2,Regular / Growth
12851,97,1,131.81,106,131.81,43,0,At-Risk / Low-Value
12852,295,1,311.55,149,311.55,17,0,At-Risk / Low-Value
12853,135,6,1957.1,800,326.1833333,66,2,Regular / Growth
12854,79,3,1316.25,626,438.75,95,2,Regular / Growth
12855,373,1,38.1,30,38.1,3,0,At-Risk / Low-Value
12856,8,6,2170.78,1076,361.7966667,155,1,High-Value Loyal
12857,211,2,1106.4,343,553.2,37,2,Regular / Growth
12863,52,1,521.2,188,521.2,5,2,Regular / Growth
12864,138,1,147.12,216,147.12,3,0,At-Risk / Low-Value
12865,26,2,1568.23,925,784.115,86,2,Regular / Growth
12866,283,1,559.12,171,559.12,26,2,Regular / Growth
12867,26,7,4009.34,4284,572.7628571,240,1,High-Value Loyal
12868,186,6,1607.06,928,267.8433333,72,2,Regular / Growth
12871,84,2,380.64,200,190.32,8,0,At-Risk / Low-Value
12872,327,2,599.97,319,299.985,58,2,Regular / Growth
12873,282,1,374.0,128,374.0,4,0,At-Risk / Low-Value
12875,143,2,343.23,2019,171.615,1,0,At-Risk / Low-Value
12876,58,2,2218.02,1941,1109.01,67,2,Regular / Growth
12877,4,12,1535.77,1178,127.9808333,100,1,High-Value Loyal
12878,236,2,854.99,547,427.495,38,2,Regular / Growth
12879,45,3,573.22,370,191.0733333,7,2,Regular / Growth
12881,276,1,298.0,21,298.0,7,0,At-Risk / Low-Value
12882,9,2,1463.04,246,731.52,12,2,Regular / Growth
12883,25,4,703.47,196,175.8675,39,2,Regular / Growth
12884,88,1,309.05,43,309.05,7,0,At-Risk / Low-Value
12885,63,3,1175.22,655,391.74,66,2,Regular / Growth
12886,68,2,1378.4,770,689.2,75,2,Regular / Growth
12888,214,2,354.12,76,177.06,4,0,At-Risk / Low-Value
12890,24,1,376.72,256,376.72,78,2,Regular / Growth
12891,186,3,331.0,950,110.3333333,2,0,At-Risk / Low-Value
12893,31,1,176.55,90,176.55,27,0,At-Risk / Low-Value
12895,42,2,372.8,210,186.4,22,2,Regular / Growth
12897,205,2,216.5,110,108.25,3,0,At-Risk / Low-Value
12901,9,28,17654.54,23075,630.5192857,30,1,High-Value Loyal
12902,265,1,138.68,66,138.68,10,0,At-Risk / Low-Value
12904,18,2,496.06,294,248.03,59,2,Regular / Growth
12906,12,5,2919.81,1749,583.962,55,1,High-Value Loyal
12908,176,2,750.0,1200,375.0,1,2,Regular / Growth
12909,40,5,2178.67,1280,435.734,78,1,High-Value Loyal
12910,23,8,3075.04,1692,384.38,48,1,High-Value Loyal
12912,3,5,1662.3,670,332.46,17,1,High-Value Loyal
12913,5,5,2483.63,1419,496.726,37,1,High-Value Loyal
